variant,n_months,ann_return,ann_vol,sharpe,max_dd,worst_month,alpha_monthly,alpha_annual,alpha_tstat,beta_umd,umd_tstat,r_squared
baseline_L12,741,10.939465587044534,20.97649582806472,0.5215106315521244,-58.19802255867042,-38.68600000000001,0.22374938576825565,2.684992629219068,1.3138587914464208,1.056175693467058,18.33993589950899,0.5304133560974762
baseline_L6,747,6.587630522088355,19.6088477451403,0.3359519441279246,-54.3009623911334,-39.022,-0.007688569481501262,-0.09226283377801514,-0.04452006563078923,0.8441260738971232,14.520370154980387,0.377370836341271
baseline_L9,744,9.24809677419355,20.364034746302437,0.45413872493380797,-57.297929459147554,-27.726,0.10043498328272457,1.2052197993926947,0.5858704679504072,1.0033200908608448,16.50353866779971,0.49730960464511353
residual_L12_W24_FF3,718,11.395454038997215,15.315155501423204,0.7440638809013895,-39.91435022343912,-15.490000000000002,0.6749617025798375,8.099540430958049,4.248766092003514,0.40992783035595515,7.572217614604403,0.14933057387427762
residual_L12_W24_MKT,718,10.704200557103064,17.36962164374494,0.6162598573906074,-53.63452164718604,-16.622,0.4403851733074711,5.284622079689654,2.45979558733763,0.6368962730390834,8.648326407748332,0.27018974149107733
residual_L12_W36_FF3,706,9.17326912181303,16.19362662961115,0.566474041400898,-51.669043138191114,-17.381999999999998,0.3693768465072712,4.432522158087254,2.1527361923746584,0.5352124579256372,9.096658935777791,0.2189554813176835
residual_L12_W36_MKT,706,12.699127478753542,17.819122305221182,0.712668517631341,-39.55619012873781,-15.434000000000003,0.5135621639596242,6.16274596751549,2.790647426919626,0.7468663524876117,9.962649968105557,0.3543559331866313
residual_L12_W48_FF3,694,10.310628242074927,16.610586164318,0.6207263331997087,-51.39765408050766,-17.4,0.44586987389217236,5.350438486706068,2.8183888331806863,0.5884177502855485,11.719110053549393,0.25610527101729885
residual_L12_W48_MKT,694,13.607965417867437,18.1462987828111,0.7499030838595827,-38.112969360627616,-15.948,0.5933371050134457,7.120045260161349,3.2734197125890194,0.7732013022428456,10.734534480068731,0.37217652987495864
residual_L6_W24_FF3,724,6.986784530386741,15.721733365003844,0.44440294006888165,-63.92932963768487,-18.798000000000002,0.33643467950168765,4.037216154020252,1.8053751887430065,0.31604818404951995,4.1865495537948645,0.08314694954641122
residual_L6_W24_MKT,724,7.278961325966851,16.697800094798975,0.43592337221920024,-50.94629819007942,-22.235999999999997,0.24780910961711888,2.9737093154054266,1.4159984444344444,0.4434237926591507,6.281049576534813,0.1473703931255521
residual_L6_W36_FF3,712,5.6508202247191,16.096604715300707,0.3510566560255831,-51.62554594551355,-16.436,0.12992466203413455,1.5590959444096146,0.6752677332887795,0.44037098461098884,7.2132830122419795,0.15138515022704702
residual_L6_W36_MKT,712,6.633539325842696,17.37327463943529,0.38182435168470436,-52.643541034950815,-22.332,0.13799199647251026,1.655903957670123,0.7607490980248552,0.5536698280968085,8.249225501442666,0.218049135768572
residual_L6_W48_FF3,700,6.1198628571428575,16.665889821276,0.36720888730046214,-40.755607336221125,-21.708000000000002,0.1258870166596785,1.510644199916142,0.6672894679029147,0.4925975978859825,7.288189335657046,0.18009722709639597
residual_L6_W48_MKT,700,7.1414399999999985,17.761090502189127,0.40208341932156627,-53.746595444868504,-25.634,0.15513895531360128,1.8616674637632153,0.8604301187413191,0.6122317942134816,10.209123645051898,0.2515178995978088
residual_L9_W24_FF3,721,7.65004160887656,15.787182570174519,0.48457294864817624,-46.53607766838023,-15.758,0.3000704342794357,3.6008452113532283,1.8469979811317483,0.4419416342632373,7.524868348623084,0.16682687810960095
residual_L9_W24_MKT,721,7.896133148404992,16.95677558967272,0.4656624195235572,-64.73448843032,-20.038000000000004,0.1987742750194174,2.3852913002330087,1.1686815044097694,0.5963128012719852,8.649552218866765,0.24885849142311722
residual_L9_W36_FF3,709,8.768022566995771,16.057567588718022,0.5460367841239009,-60.40835367671007,-14.786,0.30476909920864287,3.657229190503714,1.9135906944382006,0.5262322479561728,10.55563464205644,0.2141924032539183
residual_L9_W36_MKT,709,9.713331452750355,17.326978780067357,0.5605900241491838,-60.706370704748494,-18.740000000000002,0.2581864928590379,3.098237914308455,1.5252258949870658,0.7155639658810261,11.99432729661611,0.34156689277430685
residual_L9_W48_FF3,697,9.01986800573888,16.397781484385536,0.5500663619848741,-55.23444541991811,-18.362000000000002,0.34244422331657487,4.109330679798898,2.0662424182700536,0.5543787036670884,11.47544643520493,0.23236333596243108
residual_L9_W48_MKT,697,9.748923959827833,18.5428393050765,0.5257514126846181,-63.18040939440613,-22.092,0.22681024729829335,2.7217229675795203,1.3179552567970296,0.7881182509412487,13.395475079536036,0.366858923485761
